Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Gender,Exam_Score,Previous_Scores
17,65,Low,High,Yes,5,Medium,Yes,2,Low,Public,Positive,3,No,Female,63,75
21,62,High,Low,Yes,6,High,Yes,0,High,Public,Positive,3,No,Male,64,54
13,91,Low,Medium,No,6,Medium,Yes,1,High,Public,Negative,2,Yes,Female,65,90
22,83,High,High,Yes,6,Medium,Yes,0,High,Public,Neutral,2,No,Male,71,94
16,90,Medium,Medium,No,4,Medium,Yes,1,Low,Public,Neutral,3,No,Female,66,58
18,66,High,High,No,4,Low,Yes,2,Low,Private,Neutral,2,No,Male,64,51
16,83,Low,Medium,No,6,Medium,Yes,0,High,Public,Positive,4,Yes,Female,63,57
31,70,Medium,High,Yes,7,Medium,Yes,1,High,Public,Negative,3,No,Male,69,66
20,69,Medium,Medium,Yes,8,Medium,Yes,2,Medium,Public,Positive,3,No,Male,67,96
14,60,High,Medium,No,5,Medium,Yes,2,Medium,Public,Neutral,3,No,Female,61,50
25,65,High,Medium,No,5,Medium,Yes,2,Medium,Public,Positive,3,No,Female,68,90
13,72,Low,Medium,No,6,Low,Yes,1,Low,Public,Negative,3,No,Male,61,93
21,65,Medium,Low,Yes,7,Low,Yes,2,Medium,Public,Positive,3,No,Female,64,91
8,99,Medium,Medium,No,9,Low,Yes,2,Low,Public,Neutral,5,No,Female,67,54
12,72,Low,Medium,Yes,8,Medium,Yes,1,Low,Public,Positive,5,No,Female,63,84
21,65,Low,Medium,Yes,6,Low,Yes,1,Medium,Public,Negative,4,No,Male,64,98
24,68,High,Medium,No,8,Low,Yes,3,High,Public,Neutral,1,No,Male,67,56
21,84,Medium,Medium,Yes,6,Low,Yes,1,Medium,Public,Neutral,2,Yes,Female,65,52
19,63,Low,High,No,7,Medium,Yes,1,Medium,Private,Positive,3,No,Male,64,94
18,94,Medium,High,Yes,7,Medium,Yes,3,Medium,Private,Negative,2,Yes,Male,70,82
11,98,Medium,Medium,Yes,9,Low,Yes,1,Medium,Private,Positive,3,No,Male,68,82
16,70,Medium,Medium,Yes,8,Medium,Yes,2,Medium,Public,Positive,3,No,Male,65,98
17,78,Medium,Medium,Yes,6,Medium,Yes,1,Medium,Private,Positive,3,No,Female,68,88
26,61,Medium,Low,Yes,6,Medium,Yes,2,Low,Public,Positive,3,No,Female,64,70
22,86,Low,Medium,Yes,7,Low,Yes,3,Low,Public,Positive,2,No,Male,68,72
9,77,Medium,Medium,No,5,Medium,Yes,2,Medium,Public,Neutral,3,No,Male,63,57
22,71,Low,Medium,Yes,7,Low,Yes,1,Medium,Public,Positive,4,No,Male,64,65
18,68,High,Medium,No,7,Medium,Yes,0,Medium,Public,Neutral,3,No,Male,64,72
16,86,Low,Medium,Yes,8,Medium,Yes,2,Medium,Public,Positive,4,No,Male,67,63
24,77,High,Low,No,8,Medium,Yes,0,Medium,Public,Neutral,3,No,Female,67,96
26,67,Medium,High,Yes,7,Low,Yes,2,High,Private,Neutral,4,Yes,Female,66,51
26,88,Medium,High,Yes,5,Medium,Yes,1,Low,Private,Positive,4,No,Male,72,79
15,83,Medium,High,No,5,Low,No,1,Medium,Public,Neutral,2,Yes,Female,65,89
18,94,Medium,Medium,Yes,6,High,Yes,1,Medium,Public,Positive,4,No,Male,71,87
22,65,High,Low,No,8,Medium,Yes,2,Medium,Public,Positive,1,No,Female,66,82
26,91,Medium,Low,Yes,8,Medium,Yes,0,Low,Private,Neutral,3,No,Male,68,71
17,87,Medium,Medium,No,7,Medium,Yes,1,High,Public,Negative,5,No,Female,70,96
19,65,Medium,Medium,Yes,10,Low,Yes,0,Low,Public,Positive,3,No,Male,62,66
13,88,Low,High,Yes,9,High,Yes,2,Low,Private,Negative,4,No,Male,68,88
13,78,Medium,High,Yes,9,High,Yes,2,Low,Public,Neutral,3,No,Male,67,96
25,98,Low,High,Yes,8,Medium,No,0,Medium,Private,Neutral,3,No,Male,71,56
28,66,Medium,High,Yes,8,Medium,Yes,0,Medium,Public,Neutral,2,No,Male,68,97
20,86,Medium,Medium,Yes,8,Medium,Yes,1,Low,Public,Negative,3,No,Male,69,89
26,75,Low,High,Yes,4,High,Yes,3,Medium,Private,Positive,2,No,Male,70,81
22,98,Medium,High,No,5,Low,No,1,Low,Public,Negative,4,No,Female,69,69
16,73,Medium,Medium,No,7,Medium,Yes,1,Low,Public,Negative,4,No,Male,65,95
22,98,Medium,Low,Yes,7,Medium,No,3,Medium,Public,Positive,3,No,Female,70,52
29,96,Medium,Low,Yes,7,Medium,Yes,1,Low,Public,Positive,3,No,Male,71,72
20,71,Medium,Medium,Yes,7,Medium,Yes,1,Low,Public,Neutral,4,No,Female,65,88
29,92,Low,Medium,No,4,Medium,Yes,2,Medium,Public,Negative,1,No,Female,72,91
4,100,High,High,Yes,8,High,Yes,0,Medium,Private,Positive,4,No,Male,69,60
25,70,Medium,Medium,No,7,Medium,Yes,1,Medium,Public,Positive,3,No,Female,66,52
21,77,Low,Medium,Yes,7,Medium,Yes,4,Medium,Private,Neutral,3,No,Male,68,90
18,81,High,Low,Yes,8,Medium,Yes,0,Medium,Public,Neutral,3,No,Female,65,71
21,72,Medium,Medium,Yes,5,Medium,Yes,1,High,Public,Neutral,5,Yes,Male,64,57
8,61,Medium,Medium,Yes,7,Medium,Yes,1,High,Public,Positive,3,No,Male,60,54
19,69,Medium,High,Yes,7,High,Yes,1,Low,Public,Negative,2,No,Male,65,82
22,71,High,Medium,No,6,High,Yes,1,Low,Public,Positive,3,No,Male,66,79
29,78,High,High,Yes,4,Low,Yes,5,Medium,Public,Neutral,3,No,Male,74,93
17,67,Medium,Medium,Yes,5,High,Yes,2,Medium,Private,Negative,3,No,Female,62,52
15,95,Medium,Medium,No,7,Medium,Yes,2,Low,Public,Positive,4,No,Male,70,93
17,88,Medium,High,Yes,7,Low,Yes,0,Medium,Public,Neutral,3,No,Male,69,94
25,63,Medium,High,Yes,7,Medium,Yes,3,Medium,Private,Negative,4,No,Male,67,72
22,86,Low,Low,No,6,Medium,Yes,2,Medium,Public,Neutral,0,No,Male,64,54
17,86,Medium,High,No,5,High,Yes,3,High,Public,Neutral,3,No,Male,71,97
23,98,Medium,Low,Yes,7,Low,Yes,0,Medium,Public,Negative,3,No,Female,68,54
21,60,High,Medium,No,7,Medium,Yes,0,Medium,Public,Neutral,4,Yes,Male,64,80
26,70,Medium,Low,Yes,8,Medium,Yes,1,Medium,Private,Neutral,4,Yes,Female,63,75
16,97,Medium,Medium,Yes,6,Low,Yes,0,High,Private,Positive,4,No,Male,71,92
18,97,High,Medium,Yes,4,Low,Yes,0,Low,Public,Positive,3,No,Male,69,75
18,89,High,Medium,Yes,4,Medium,Yes,3,High,Private,Positive,2,No,Female,100,73
11,91,Medium,Medium,No,6,Medium,Yes,3,Medium,Public,Neutral,3,No,Male,68,94
22,64,Low,Medium,No,7,Low,No,1,Medium,Public,Negative,3,No,Male,62,98
22,81,Medium,Medium,Yes,7,Low,Yes,2,Medium,Public,Positive,3,No,Female,68,77
20,69,High,High,Yes,6,Medium,Yes,2,Low,Private,Positive,3,No,Male,66,73
19,67,Low,Medium,No,5,High,Yes,0,Medium,Public,Positive,3,No,Male,64,92
12,92,Medium,Medium,No,4,High,Yes,2,Medium,Public,Neutral,3,Yes,Male,67,92
17,65,Medium,High,Yes,8,Medium,Yes,1,High,Public,Neutral,4,Yes,Female,65,66
18,79,Medium,Medium,Yes,7,Medium,Yes,0,Low,Private,Neutral,3,No,Male,65,79
15,98,High,Medium,No,6,High,Yes,0,Low,Public,Positive,3,No,Male,69,58
19,67,Medium,Medium,No,5,High,Yes,1,Low,Private,Negative,3,No,Male,63,82
22,99,Medium,Low,Yes,6,Low,Yes,3,Medium,Public,Negative,4,No,Male,72,92
31,100,Medium,Medium,No,7,Medium,Yes,2,High,Public,Positive,5,No,Male,76,59
21,82,Medium,High,Yes,7,High,Yes,3,Low,Public,Positive,3,Yes,Female,69,66
22,67,Medium,Medium,Yes,7,High,Yes,3,Low,Public,Positive,2,No,Female,67,72
20,73,High,Medium,Yes,9,Medium,Yes,2,Medium,Public,Positive,3,No,Male,69,92
8,77,High,Medium,Yes,6,Medium,Yes,0,Low,Public,Neutral,2,No,Male,63,87
20,72,Medium,Medium,No,9,Medium,Yes,3,Low,Private,Positive,3,No,Male,67,66
20,71,Low,High,Yes,7,High,Yes,2,Medium,Public,Negative,5,No,Male,66,62
35,99,High,High,Yes,7,Low,Yes,2,Medium,Private,Neutral,2,No,Female,79,85
19,66,Medium,Medium,No,8,Medium,Yes,1,High,Public,Neutral,3,No,Female,64,74
22,89,High,High,Yes,6,Medium,Yes,1,High,Public,Positive,3,No,Female,73,80
20,60,Low,High,No,7,High,Yes,2,Low,Public,Positive,4,Yes,Male,63,82
13,84,Medium,Medium,No,5,Medium,Yes,1,Low,Public,Positive,2,No,Male,65,78
27,97,Low,High,Yes,8,Medium,Yes,0,High,Public,Positive,5,No,Female,73,81
25,72,High,High,Yes,8,Low,Yes,2,Low,Private,Positive,4,No,Female,70,94
25,67,High,Medium,No,9,High,Yes,2,Low,Public,Positive,3,Yes,Female,68,93
15,86,Medium,Medium,Yes,7,Medium,Yes,1,Medium,Public,Negative,3,No,Male,65,57
28,89,Low,High,Yes,9,High,Yes,0,Low,Private,Positive,1,No,Female,71,79
12,88,Low,Medium,No,6,Low,Yes,2,Medium,Public,Positive,2,No,Male,64,72
24,73,Medium,High,Yes,8,Medium,Yes,4,High,Private,Neutral,3,Yes,Male,68,64
33,70,Medium,Medium,Yes,6,Low,Yes,1,Low,Public,Neutral,4,No,Male,69,82
14,98,Medium,Medium,No,7,Medium,Yes,0,Medium,Private,Positive,4,No,Female,69,76
17,97,Medium,Medium,No,8,Medium,Yes,1,Low,Public,Neutral,4,No,Male,69,89
21,78,Medium,Medium,Yes,10,Medium,Yes,1,High,Private,Positive,2,No,Male,67,55
17,94,Low,Medium,Yes,8,Low,Yes,4,Medium,Public,Neutral,6,No,Female,68,65
11,78,Medium,High,Yes,8,Medium,Yes,2,Low,Public,Neutral,3,No,Male,64,51
20,77,Medium,Medium,No,6,Low,Yes,0,Low,Public,Positive,4,No,Female,66,87
14,66,High,Low,No,7,Medium,Yes,3,Low,Public,Negative,3,No,Male,63,96
23,77,Medium,Medium,Yes,7,Medium,Yes,0,Low,Public,Neutral,2,No,Male,66,79
14,81,Medium,Medium,No,9,Medium,Yes,1,Low,Private,Negative,3,No,Female,66,81
29,61,Medium,High,Yes,7,Low,Yes,3,Low,Private,Positive,3,No,Female,67,52
15,78,High,High,No,9,Low,Yes,1,Low,Public,Negative,1,No,Male,65,75
18,91,Low,Medium,Yes,5,Medium,Yes,1,Medium,Public,Neutral,3,No,Female,68,76
25,87,Medium,Low,No,9,High,Yes,1,Low,Private,Positive,2,No,Male,68,52
13,85,High,Medium,No,6,Medium,Yes,0,High,Private,Neutral,1,Yes,Male,65,89
21,96,Medium,Medium,No,8,High,Yes,2,Medium,Public,Neutral,0,No,Male,71,64
28,61,Medium,High,No,6,High,Yes,1,Low,Private,Negative,3,Yes,Male,65,86
10,82,Medium,Low,No,8,Medium,Yes,3,Low,Public,Positive,1,Yes,Female,64,70
21,91,High,Medium,No,6,Medium,Yes,0,High,Private,Neutral,2,No,Female,72,100
22,82,Medium,Medium,No,9,Medium,Yes,2,Low,Public,Negative,2,Yes,Female,65,61
25,73,Medium,High,No,8,High,No,0,Low,Private,Negative,5,No,Female,66,53
13,65,Low,High,No,6,Medium,Yes,0,Low,Private,Negative,4,No,Male,61,99
12,96,Low,High,Yes,8,Medium,Yes,2,Medium,Public,Negative,3,No,Female,68,62
23,79,High,High,Yes,8,Low,Yes,3,Medium,Public,Negative,3,Yes,Female,69,82
22,95,Medium,High,Yes,6,Medium,Yes,1,Low,Public,Positive,3,No,Female,72,69
22,83,Medium,High,Yes,5,Medium,Yes,2,Low,Public,Positive,3,No,Female,71,82
22,87,High,High,No,5,Low,Yes,2,Low,Public,Negative,3,No,Female,70,80
16,92,Medium,High,Yes,5,Low,Yes,1,Low,Public,Neutral,2,No,Male,68,85
21,86,Low,Medium,Yes,5,Medium,Yes,2,Low,Public,Positive,2,No,Female,67,51
22,76,Medium,Medium,Yes,8,Medium,Yes,1,Low,Public,Neutral,4,No,Female,68,92
16,81,Medium,Medium,Yes,8,Medium,Yes,3,Medium,Public,Positive,2,No,Female,68,74
31,92,Medium,Medium,Yes,4,Medium,Yes,2,Medium,Public,Positive,4,Yes,Male,72,76
23,75,Low,High,No,6,Low,Yes,0,Medium,Public,Neutral,2,No,Male,65,71
13,76,Medium,High,No,5,Low,Yes,2,Medium,Private,Positive,4,No,Female,66,99
24,64,Medium,Medium,Yes,8,High,Yes,0,Low,Public,Negative,3,No,Male,65,90
14,97,Medium,Medium,Yes,6,Medium,Yes,2,Medium,Public,Negative,3,Yes,Female,67,66
25,64,Medium,High,No,5,Low,Yes,2,Medium,Public,Neutral,4,No,Male,66,89
27,86,Medium,Medium,No,7,Low,Yes,1,Medium,Public,Positive,4,No,Male,69,72
15,77,Medium,Medium,Yes,8,Low,Yes,0,High,Public,Positive,3,No,Male,66,94
26,76,Medium,High,Yes,6,Medium,Yes,4,High,Public,Neutral,3,No,Male,69,52
22,87,High,Low,Yes,7,Medium,No,0,Low,Public,Neutral,2,No,Male,67,68
25,63,High,Medium,Yes,6,Medium,Yes,1,Medium,Private,Positive,3,No,Male,66,71
31,84,Medium,Medium,Yes,9,Medium,Yes,2,Low,Private,Neutral,3,No,Male,71,87
19,91,High,Low,No,6,Medium,Yes,5,Medium,Public,Neutral,4,No,Male,70,59
15,93,High,Medium,No,6,Medium,Yes,2,Medium,Public,Positive,4,No,Male,71,64
15,67,Medium,Medium,Yes,7,High,Yes,1,High,Private,Positive,3,No,Male,66,86
15,96,Medium,Medium,No,7,High,No,3,Medium,Public,Negative,2,No,Male,67,54
20,86,High,Low,No,8,Medium,Yes,1,Medium,Public,Neutral,4,Yes,Female,66,60
22,95,Medium,High,No,9,Low,Yes,0,Low,Public,Positive,2,No,Male,72,88
22,79,Medium,Medium,No,9,Medium,Yes,1,Medium,Public,Positive,3,No,Male,68,94
25,82,Medium,Medium,No,6,Medium,No,3,Low,Public,Positive,3,No,Female,69,86
20,97,Medium,Medium,Yes,7,Low,Yes,2,Low,Private,Positive,3,No,Male,71,76
29,96,Medium,Medium,Yes,9,Low,No,0,Medium,Public,Neutral,2,No,Female,70,55
18,78,Medium,Medium,No,9,High,Yes,2,High,Public,Neutral,4,No,Female,67,91
36,71,Medium,Medium,Yes,6,Medium,Yes,2,High,Public,Positive,2,No,Male,69,56
24,76,Low,High,No,8,Low,Yes,2,Medium,Public,Neutral,1,No,Male,65,69
15,76,High,High,No,8,Medium,Yes,1,Low,Public,Neutral,4,No,Male,65,53
14,71,Medium,Medium,Yes,8,Low,Yes,2,Medium,Public,Neutral,4,No,Male,64,85
23,71,Low,Low,Yes,9,Low,Yes,1,Low,Public,Negative,2,No,Male,63,75
19,94,Low,Medium,Yes,5,Medium,Yes,3,Low,Public,Positive,2,No,Male,69,95
24,63,Medium,Low,Yes,6,Medium,Yes,1,Low,Private,Neutral,5,No,Female,64,57
23,87,High,High,Yes,8,High,Yes,0,High,Private,Positive,3,No,Male,72,91
20,67,Low,Medium,Yes,7,Medium,Yes,0,Medium,Public,Neutral,4,No,Male,63,76
15,74,Low,High,Yes,4,Low,Yes,3,Low,Public,Positive,3,No,Female,64,68
11,62,Medium,High,Yes,5,Medium,Yes,3,High,Private,Neutral,4,No,Male,64,82
17,71,Medium,Medium,Yes,8,Medium,Yes,5,Medium,Public,Positive,1,No,Male,67,90
25,91,Medium,Medium,No,8,Low,Yes,2,Medium,Public,Positive,0,No,Male,71,72
21,95,Medium,Medium,No,5,High,Yes,1,Medium,Public,Positive,4,No,Male,70,62
13,69,Medium,Low,Yes,9,Low,Yes,0,High,Private,Neutral,4,No,Female,61,96
21,79,Medium,High,Yes,7,Low,Yes,2,Low,Public,Negative,4,No,Male,67,66
22,79,High,Medium,No,5,Medium,Yes,4,High,Public,Negative,3,No,Male,72,100
15,95,Low,Low,Yes,6,Low,Yes,1,Low,Public,Negative,5,No,Male,66,88
21,91,Medium,High,Yes,5,Medium,Yes,1,High,Public,Neutral,2,No,Male,70,84
20,81,High,Medium,Yes,6,High,No,3,Medium,Public,Neutral,4,Yes,Male,67,51
13,87,High,Low,Yes,4,Medium,Yes,2,Medium,Public,Neutral,3,No,Female,67,72
22,94,Low,Medium,Yes,7,High,Yes,2,High,Public,Neutral,2,No,Female,71,75
23,60,High,Medium,Yes,8,Medium,Yes,1,Low,Private,Positive,4,No,Male,66,69
26,76,Medium,Medium,Yes,5,Medium,Yes,1,Medium,Public,Positive,4,No,Male,68,57
26,96,Medium,Medium,Yes,7,Medium,Yes,3,High,Private,Positive,3,No,Female,74,68
12,90,Medium,Low,Yes,6,Medium,No,1,High,Public,Neutral,3,No,Male,64,54
14,82,Medium,Medium,No,8,Medium,Yes,1,Low,Private,Positive,3,No,Male,65,65
23,81,Low,Medium,Yes,4,Medium,Yes,1,Low,Public,Neutral,3,No,Male,66,54
23,74,Medium,High,Yes,8,Low,Yes,0,Medium,Public,Negative,3,Yes,Male,66,88
23,81,Medium,Low,No,4,Medium,Yes,2,Medium,Public,Positive,5,No,Male,68,84
43,86,High,Medium,Yes,7,Medium,Yes,2,Medium,Public,Positive,1,No,Female,78,97
23,77,Medium,High,Yes,6,Low,Yes,1,Medium,Private,Positive,2,No,Female,67,69
27,89,Medium,High,Yes,6,Medium,Yes,3,Medium,Private,Positive,3,No,Male,74,89
26,94,Medium,High,No,5,High,Yes,1,Low,Public,Positive,2,No,Male,74,79
24,66,Medium,Low,No,9,Low,Yes,1,Medium,Public,Neutral,2,Yes,Female,62,82
18,78,High,Medium,Yes,5,Medium,No,2,Medium,Public,Neutral,4,No,Male,66,77
25,76,Medium,Medium,Yes,5,High,Yes,3,Medium,Public,Neutral,3,No,Female,69,89
15,87,Medium,High,Yes,10,Medium,Yes,2,Low,Private,Positive,3,No,Male,68,52
19,70,Medium,Low,No,7,High,Yes,0,Medium,Public,Positive,2,Yes,Male,89,54
17,86,High,Low,No,5,Low,No,2,High,Private,Neutral,4,No,Male,66,55
20,95,Low,Medium,Yes,7,Low,No,2,Medium,Public,Neutral,3,No,Female,68,64
34,77,Medium,Low,Yes,7,Low,Yes,0,Medium,Public,Positive,3,No,Male,69,80
9,96,Medium,Medium,Yes,4,High,No,0,Low,Public,Positive,4,No,Male,67,82
24,100,High,High,Yes,6,Low,Yes,2,Medium,Private,Positive,5,No,Male,75,86
10,64,Medium,High,No,7,High,Yes,0,Medium,Public,Positive,4,Yes,Female,60,64
17,69,High,Medium,Yes,9,Medium,Yes,2,Medium,Private,Positive,4,Yes,Female,66,83
27,98,Low,High,Yes,7,Low,Yes,1,High,Private,Positive,3,No,Female,73,56
20,98,Medium,Low,No,7,Low,Yes,1,Medium,Private,Neutral,2,No,Female,68,50
14,64,Medium,Medium,Yes,6,Medium,Yes,0,Medium,Public,Neutral,3,No,Male,62,85
16,61,Medium,Medium,No,9,Low,Yes,2,Low,Public,Positive,2,No,Male,62,86
24,66,High,Low,Yes,8,High,Yes,1,Medium,Public,Neutral,4,No,Male,65,81
16,100,High,Low,Yes,8,High,Yes,2,Low,Public,Negative,3,No,Male,69,63
21,67,Medium,Medium,No,7,Low,Yes,3,Low,Public,Neutral,2,No,Female,64,96
20,80,Medium,High,No,5,Medium,Yes,0,Low,Private,Positive,4,Yes,Female,67,94
16,94,High,High,Yes,9,Medium,Yes,0,Low,Public,Neutral,2,No,Male,70,76
33,61,Medium,Medium,No,7,High,Yes,2,Medium,Public,Neutral,3,No,Female,70,99
24,84,High,Low,No,7,Low,Yes,3,Medium,Public,Positive,3,No,Female,69,65
8,71,High,Low,No,8,Medium,Yes,0,Medium,Public,Positive,3,No,Male,61,75
21,94,Medium,Medium,No,7,Low,Yes,0,Medium,Private,Neutral,2,Yes,Male,69,96
16,71,High,Medium,Yes,5,Medium,Yes,1,Medium,Public,Neutral,0,Yes,Male,63,73
25,87,Medium,Low,Yes,7,Low,Yes,0,Medium,Public,Neutral,4,Yes,Male,67,74
15,87,Low,Medium,No,4,Medium,Yes,1,Medium,Public,Neutral,6,No,Male,65,54
19,69,Medium,Medium,Yes,7,High,Yes,3,High,Public,Neutral,4,No,Male,66,61
23,61,Low,Medium,No,9,Medium,Yes,4,Medium,Public,Neutral,2,No,Male,63,58
25,76,Medium,High,Yes,4,Medium,Yes,2,Medium,Private,Negative,3,No,Female,68,78
13,72,High,High,No,7,Medium,Yes,0,Low,Public,Neutral,4,No,Male,65,66
18,92,Low,Medium,Yes,8,Medium,Yes,1,Medium,Public,Positive,3,No,Male,67,54
17,92,Low,Low,Yes,8,Medium,Yes,2,Medium,Public,Neutral,3,No,Female,68,75
16,78,Medium,High,No,6,Medium,Yes,0,Low,Public,Neutral,3,Yes,Male,64,83
31,84,Medium,Medium,No,5,High,Yes,0,Medium,Private,Positive,3,No,Male,71,87
22,84,Medium,Medium,Yes,6,Low,Yes,0,Medium,Public,Neutral,5,No,Female,69,92
12,93,Medium,Medium,Yes,9,Low,Yes,1,Medium,Public,Neutral,3,No,Male,67,74
26,77,Low,Medium,No,4,Low,Yes,2,High,Public,Neutral,3,Yes,Female,65,70
33,71,Low,Medium,No,5,Medium,Yes,1,Medium,Public,Positive,2,No,Male,68,84
26,71,High,Medium,Yes,6,Low,No,1,High,Private,Positive,3,No,Male,67,51
11,81,Medium,Medium,Yes,6,High,Yes,3,Medium,Public,Neutral,4,No,Male,67,82
17,78,Medium,High,Yes,7,Medium,No,2,Low,Public,Positive,3,No,Male,66,70
28,78,High,Medium,No,9,High,Yes,2,Medium,Public,Neutral,4,No,Female,70,73
16,64,High,Low,Yes,5,Medium,Yes,3,Medium,Private,Positive,4,No,Female,65,65
23,89,Low,Low,Yes,7,Low,Yes,4,Medium,Private,Positive,4,No,Female,69,56
25,69,Medium,Medium,Yes,7,Low,No,1,High,Public,Positive,4,No,Female,65,70
14,68,High,Medium,No,6,Medium,Yes,1,High,Public,Neutral,3,Yes,Male,63,65
20,77,Medium,Medium,No,5,Low,Yes,2,Low,Private,Neutral,2,No,Female,67,98
1,69,High,Medium,Yes,6,Medium,Yes,1,Low,Public,Positive,3,No,Female,61,97
14,83,Medium,Low,Yes,6,Medium,Yes,0,Medium,Public,Positive,2,No,Female,65,82
18,75,Low,High,Yes,8,Medium,Yes,1,Low,Public,Neutral,2,No,Female,66,95
13,78,Medium,High,Yes,8,High,Yes,0,High,Public,Neutral,3,No,Male,66,88
30,81,Medium,Low,Yes,5,Medium,Yes,1,High,Public,Negative,1,No,Male,69,67
11,68,Medium,Medium,No,6,Medium,Yes,2,Medium,Public,Positive,3,No,Female,63,80
17,66,Low,High,No,6,Medium,Yes,1,High,Public,Positive,6,No,Male,65,61
21,95,Low,Low,No,10,Low,Yes,0,High,Public,Neutral,4,Yes,Male,67,84
29,77,High,High,Yes,7,Medium,Yes,2,High,Public,Negative,3,Yes,Female,69,52
11,76,Low,Medium,Yes,5,Medium,Yes,4,Medium,Public,Negative,2,No,Male,65,92
27,61,Medium,Medium,No,6,Medium,Yes,1,Low,Public,Positive,3,No,Male,65,79
20,80,High,Low,Yes,6,Medium,Yes,0,Low,Public,Neutral,2,No,Male,65,53
14,82,Medium,High,Yes,8,Low,Yes,2,Low,Public,Negative,5,No,Female,67,94
23,82,Low,Medium,Yes,8,Medium,Yes,1,Medium,Public,Negative,2,Yes,Male,66,94
21,88,Medium,High,No,7,Medium,Yes,4,Low,Public,Positive,3,No,Female,72,93
16,67,Medium,High,No,7,High,Yes,3,Low,Public,Positive,3,No,Male,66,89
20,70,Medium,Medium,Yes,7,Low,No,2,Medium,Private,Neutral,4,No,Male,65,84
18,92,High,Medium,Yes,7,Medium,Yes,1,Low,Public,Neutral,3,No,Male,69,70
21,98,Medium,Low,No,4,Medium,Yes,2,High,Public,Neutral,2,No,Female,68,57
24,65,Medium,Low,No,7,Low,Yes,1,High,Public,Neutral,1,No,Male,64,64
30,80,Low,High,No,6,Medium,Yes,3,Medium,Public,Negative,4,No,Female,69,67
13,69,Medium,Low,Yes,5,Low,Yes,0,High,Public,Positive,1,Yes,Female,59,68
33,62,High,Medium,Yes,10,Medium,Yes,0,Medium,Private,Positive,3,No,Female,68,78
8,73,Medium,Medium,No,7,Medium,No,0,High,Private,Neutral,3,No,Female,60,60
19,66,Medium,High,No,7,Medium,Yes,1,High,Public,Negative,3,No,Male,62,59
24,88,Low,Medium,Yes,6,Low,Yes,0,Low,Public,Negative,3,No,Male,67,86
22,81,Low,High,Yes,8,High,Yes,4,Medium,Private,Positive,5,No,Female,68,50
16,66,Medium,High,Yes,5,High,Yes,3,Medium,Public,Positive,3,No,Female,64,57
19,60,Medium,High,Yes,7,High,Yes,3,Low,Public,Positive,3,No,Female,65,72
17,92,Low,Low,Yes,6,Medium,Yes,2,Medium,Private,Positive,2,Yes,Female,65,57
